task,ctx_tokens,keep_ratio,mode,n_cases,wall_p50_s,wall_p95_s,accuracy,speedup_vs_off
niah_single,1024,0.025,off,5,1.563,1.809,1.0,1.00
niah_single,1024,0.05,off,5,1.641,4.885,1.0,1.00
niah_single,1024,0.1,off,5,1.550,1.631,1.0,1.00
niah_single,1024,0.2,off,5,1.635,1.640,1.0,1.00
niah_single,2048,0.025,off,5,2.688,2.703,1.0,1.00
niah_single,2048,0.05,off,5,2.658,2.693,1.0,1.00
niah_single,2048,0.1,off,5,2.662,2.681,1.0,1.00
niah_single,2048,0.2,off,5,2.650,2.701,1.0,1.00
niah_single,65536,0.1,off,5,138.254,142.120,1.0,1.00
niah_single,1024,0.025,always,5,1.592,1.639,1.0,0.98
niah_single,1024,0.05,always,5,1.600,1.643,1.0,0.97
niah_single,1024,0.1,always,5,1.642,4.855,1.0,0.94
niah_single,1024,0.2,always,5,1.641,1.707,1.0,1.00
niah_single,2048,0.025,always,5,2.730,5.851,1.0,0.98
niah_single,2048,0.05,always,5,2.719,5.891,1.0,1.03
niah_single,2048,0.1,always,5,2.731,5.918,1.0,0.97
niah_single,2048,0.2,always,5,2.739,5.853,1.0,0.97
niah_single,4096,0.025,off,5,4.816,8.038,1.0,1.00
niah_single,4096,0.025,always,5,4.813,7.936,1.0,1.00
niah_single,4096,0.025,auto,5,4.902,8.129,1.0,0.98
niah_single,4096,0.05,off,5,4.798,5.019,1.0,1.00
niah_single,4096,0.05,always,1,5.221,5.221,1.0,0.92
niah_single,4096,0.05,auto,5,4.817,8.017,1.0,1.00
niah_single,4096,0.1,off,5,4.919,7.403,1.0,1.00
niah_single,4096,0.1,always,5,4.801,7.958,1.0,1.02
niah_single,4096,0.1,auto,5,4.804,4.835,1.0,1.02
niah_single,4096,0.2,off,5,4.804,4.986,1.0,1.00
niah_single,4096,0.2,always,5,4.878,8.099,1.0,0.98
niah_single,4096,0.2,auto,5,4.877,8.349,1.0,0.98
niah_single,8192,0.025,off,5,9.658,13.166,1.0,1.00
niah_single,8192,0.025,always,4,12.36,13.314,1.0,0.78
niah_single,8192,0.025,auto,5,10.161,10.971,1.0,0.95
niah_single,8192,0.05,off,5,9.952,11.36,1.0,1.00
niah_single,8192,0.05,always,5,9.963,12.257,1.0,1.00
niah_single,8192,0.05,auto,5,10.142,12.527,1.0,0.98
niah_single,8192,0.1,off,5,9.638,12.748,1.0,1.00
niah_single,8192,0.1,always,5,9.942,12.726,1.0,0.97
niah_single,8192,0.1,auto,5,9.925,12.701,1.0,0.97
niah_single,8192,0.2,off,5,10.179,12.175,1.0,1.00
niah_single,8192,0.2,always,5,9.712,12.403,1.0,1.05
niah_single,8192,0.2,auto,5,9.589,12.499,1.0,1.06
niah_single,16384,0.025,off,5,23.006,23.292,1.0,1.00
niah_single,16384,0.025,always,5,23.378,23.747,1.0,0.98
niah_single,16384,0.025,auto,5,23.242,23.419,1.0,0.99
niah_single,16384,0.05,off,5,23.305,23.682,1.0,1.00
niah_single,16384,0.05,always,5,22.717,23.682,1.0,1.03
niah_single,16384,0.05,auto,5,22.981,23.522,1.0,1.01
niah_single,16384,0.1,off,5,23.473,23.673,1.0,1.00
niah_single,16384,0.1,always,5,23.459,23.584,1.0,1.00
niah_single,16384,0.1,auto,5,23.113,23.502,1.0,1.02
niah_single,16384,0.2,off,5,23.062,23.141,1.0,1.00
niah_single,16384,0.2,always,5,23.112,23.28,1.0,1.00
niah_single,16384,0.2,auto,5,20.652,27.623,1.0,1.12
niah_single,32768,0.025,off,5,32.789,39.905,1.0,1.00
niah_single,32768,0.025,always,5,26.49,27.932,1.0,1.24
niah_single,32768,0.025,auto,5,24.761,27.05,1.0,1.32
niah_single,32768,0.05,off,5,24.254,24.379,1.0,1.00
niah_single,32768,0.05,always,5,24.217,32.399,1.0,1.00
niah_single,32768,0.05,auto,5,30.9,30.987,1.0,0.78
niah_single,32768,0.1,off,5,52.37,55.182,1.0,1.00
niah_single,32768,0.1,always,5,24.531,29.009,1.0,2.13
niah_single,32768,0.1,auto,5,27.851,31.519,1.0,1.88
niah_single,32768,0.2,off,5,24.494,30.647,1.0,1.00
niah_single,32768,0.2,always,5,30.911,31.643,1.0,0.79
niah_single,32768,0.2,auto,5,32.224,32.846,1.0,0.76
